Date,Ticker,RET (monthly),RET (daily-averaged),Score
2020-07,ACCO,-0.082,0.012,-0.195
2020-08,ACCO,0.004,-0.055,0.17
2020-10,ACCO,-0.091,-0.024,0.32
2020-12,ACCO,0.103,0.027,0.235
2021-01,ACCO,-0.043,0.006,0.28
2021-02,ACCO,0.001,0.013,0.264
2021-03,ACCO,0.05,-0.017,0.068
2021-04,ACCO,0.017,-0.024,0.203
2021-05,ACCO,0.069,0.005,0.417
2021-06,ACCO,-0.053,-0.002,0.335
2021-07,ACCO,0.036,-0.002,0.337
2020-11,AIN,0.345,-0.01,0.59
2021-01,AIN,-0.053,0.013,0.237
2021-02,AIN,0.137,0.003,0.44
2021-03,AIN,0.058,-0.016,0.352
2021-04,AIN,0.069,-0.012,0.228
2021-05,AIN,0.001,-0.003,0.214
2021-06,AIN,0.001,0.018,0.53
2021-07,AIN,-0.033,0.004,0.51
2020-07,AIV,0.031,0.055,0.51
2020-08,AIV,-0.061,0.008,0.63
2020-10,AIV,-0.054,0.049,0.12
2020-11,AIV,0.238,0.001,0.2
2020-11,AIV,0.238,0.001,0.2
2021-01,AIV,-0.131,-0.027,0.01
2021-02,AIV,0.037,0.001,-0.315
2021-03,AIV,0.29,-0.006,-0.72
2021-04,AIV,0.13,0.001,0.137
2021-05,AIV,0.016,0.005,0.27
2021-06,AIV,-0.048,0.007,0.111
2021-07,AIV,0.037,-0.021,0.543
2021-07,ALF,-0.336,0.299,0.3
2020-03,ALKS,-0.308,-0.014,0.73
2020-11,ALKS,0.124,0.029,0.335
2020-12,ALKS,0.093,-0.026,0.12
2021-01,ALKS,0.052,0.018,0.35
2021-02,ALKS,-0.093,0.013,0.533
2021-03,ALKS,-0.019,0.008,0.244
2021-04,ALKS,0.178,0.003,0.34
2021-05,ALKS,0.03,0.003,0.368
2021-06,ALKS,0.082,0.005,0.242
2021-07,ALKS,0.055,-0.0,0.476
2021-08,ALKS,0.208,0.015,0.29
2020-11,AMT,0.007,0.018,0.44
2021-02,AMT,-0.049,-0.004,0.506
2021-03,AMT,0.106,-0.013,0.342
2021-04,AMT,0.071,0.006,0.301
2021-05,AMT,0.003,0.004,0.374
2021-06,AMT,0.062,-0.0,0.269
2021-07,AMT,0.047,0.003,0.411
2021-08,AMT,0.033,0.001,0.73
2020-06,ANET,-0.1,0.024,0.41
2020-12,ANET,0.073,0.02,0.7
2021-01,ANET,0.058,0.002,0.31
2021-02,ANET,-0.09,0.01,0.612
2021-03,ANET,0.079,-0.011,0.412
2021-04,ANET,0.044,-0.006,0.367
2021-05,ANET,0.077,0.008,0.286
2021-06,ANET,0.068,0.017,0.415
2021-07,ANET,0.05,0.005,0.117
2020-02,ATOM,0.055,-0.04,0.04
2020-03,ATOM,-0.203,-0.072,0.11
2020-04,ATOM,0.52,0.002,0.21
2020-05,ATOM,0.632,-0.029,0.0
2020-06,ATOM,0.037,0.007,0.153
2020-08,ATOM,0.195,-0.03,0.305
2020-09,ATOM,-0.178,0.03,0.19
2020-10,ATOM,-0.22,-0.035,0.37
2020-11,ATOM,0.151,-0.067,0.155
2020-12,ATOM,0.715,0.054,0.24
2021-01,ATOM,0.785,-0.006,0.332
2021-02,ATOM,-0.026,0.039,0.494
2021-03,ATOM,-0.124,-0.068,0.34
2021-04,ATOM,-0.321,-0.025,0.385
2021-05,ATOM,0.055,-0.073,0.06
2021-06,ATOM,0.222,0.05,0.325
2021-07,ATOM,-0.177,0.027,0.52
2021-08,ATOM,0.398,-0.004,0.15
2020-02,AUB,-0.11,0.0,0.18
2020-05,AUB,-0.02,0.069,0.29
