Ticker,Date,RET,Score
ACCO,2020-06,0.012,-0.195
ACCO,2020-07,-0.055,0.17
ACCO,2020-09,-0.024,0.32
ACCO,2020-11,0.027,0.235
ACCO,2020-12,0.006,0.28
ACCO,2021-01,0.013,0.264
ACCO,2021-02,-0.017,0.068
ACCO,2021-03,-0.024,0.203
ACCO,2021-04,0.005,0.417
ACCO,2021-05,-0.002,0.335
ACCO,2021-06,-0.002,0.337
AIN,2020-10,-0.01,0.59
AIN,2020-12,0.013,0.237
AIN,2021-01,0.003,0.44
AIN,2021-02,-0.016,0.352
AIN,2021-03,-0.012,0.228
AIN,2021-04,-0.003,0.214
AIN,2021-05,0.018,0.53
AIN,2021-06,0.004,0.51
AIV,2020-06,0.055,0.51
AIV,2020-07,0.008,0.63
AIV,2020-09,0.049,0.12
AIV,2020-10,0.001,0.2
AIV,2020-12,-0.027,0.01
AIV,2021-01,0.001,-0.315
AIV,2021-02,-0.006,-0.72
AIV,2021-03,0.001,0.137
AIV,2021-04,0.005,0.27
AIV,2021-05,0.007,0.111
AIV,2021-06,-0.021,0.543
ALF,2021-06,0.299,0.3
ALKS,2020-02,-0.014,0.73
ALKS,2020-10,0.029,0.335
ALKS,2020-11,-0.026,0.12
ALKS,2020-12,0.018,0.35
ALKS,2021-01,0.013,0.533
ALKS,2021-02,0.008,0.244
ALKS,2021-03,0.003,0.34
ALKS,2021-04,0.003,0.368
ALKS,2021-05,0.005,0.242
ALKS,2021-06,-0.0,0.476
ALKS,2021-07,0.015,0.29
AMT,2020-10,0.018,0.44
AMT,2021-01,-0.004,0.506
AMT,2021-02,-0.013,0.342
AMT,2021-03,0.006,0.301
AMT,2021-04,0.004,0.374
AMT,2021-05,-0.0,0.269
AMT,2021-06,0.003,0.411
AMT,2021-07,0.001,0.73
ANET,2020-05,0.024,0.41
ANET,2020-11,0.02,0.7
ANET,2020-12,0.002,0.31
ANET,2021-01,0.01,0.612
ANET,2021-02,-0.011,0.412
ANET,2021-03,-0.006,0.367
ANET,2021-04,0.008,0.286
ANET,2021-05,0.017,0.415
ANET,2021-06,0.005,0.117
ATOM,2020-01,-0.04,0.04
ATOM,2020-02,-0.072,0.11
ATOM,2020-03,0.002,0.21
ATOM,2020-04,-0.029,0.0
ATOM,2020-05,0.007,0.153
ATOM,2020-07,-0.03,0.305
ATOM,2020-08,0.03,0.19
ATOM,2020-09,-0.035,0.37
ATOM,2020-10,-0.067,0.155
ATOM,2020-11,0.054,0.24
ATOM,2020-12,-0.006,0.332
ATOM,2021-01,0.039,0.494
ATOM,2021-02,-0.068,0.34
ATOM,2021-03,-0.025,0.385
ATOM,2021-04,-0.073,0.06
ATOM,2021-05,0.05,0.325
ATOM,2021-06,0.027,0.52
ATOM,2021-07,-0.004,0.15
AUB,2020-01,0.0,0.18
AUB,2020-04,0.069,0.29
AUB,2020-05,-0.064,0.48
AUB,2020-06,-0.02,0.3
AUB,2020-07,-0.007,0.067
AUB,2020-09,-0.003,0.09
AUB,2020-10,0.016,0.15
AUB,2020-11,-0.015,0.39
AUB,2020-12,0.019,0.237
AUB,2021-01,-0.021,0.403
AUB,2021-03,-0.01,0.327
AUB,2021-04,0.02,0.376
AUB,2021-05,0.012,0.617
AXSM,2020-01,0.014,0.68
AXSM,2020-02,-0.016,0.66
AXSM,2020-03,-0.026,0.285
AXSM,2020-04,-0.027,0.735
AXSM,2020-05,-0.014,0.085
AXSM,2020-07,-0.004,0.47
AXSM,2020-08,-0.026,0.575
AXSM,2020-09,0.006,0.574
AXSM,2020-10,0.014,0.1
AXSM,2020-11,-0.008,0.377
AXSM,2020-12,-0.001,0.54
AXSM,2021-01,-0.009,0.553
AXSM,2021-02,-0.027,0.395
AXSM,2021-03,0.004,0.078
AXSM,2021-04,0.015,0.38
AXSM,2021-05,0.02,0.276
AXSM,2021-06,0.001,0.588
AYRO,2020-06,0.004,-0.41
AYRO,2020-07,0.051,-0.335
AYRO,2020-08,0.153,0.18
AYRO,2020-09,-0.066,0.64
AYRO,2020-11,-0.049,0.153
AYRO,2020-12,0.134,0.18
AYRO,2021-01,0.176,0.32
AYRO,2021-02,0.015,0.21
AYRO,2021-03,0.013,0.475
AYRO,2021-04,0.001,0.242
AYRO,2021-05,0.121,0.165
AYRO,2021-06,0.006,0.463
BCML,2020-06,0.028,0.575
BCML,2020-07,-0.016,0.5
BCML,2020-08,0.01,-0.007
BCML,2020-09,0.022,-0.06
BCML,2020-10,0.016,0.24
BCML,2020-11,0.05,0.04
BCML,2020-12,0.018,-0.006
BCML,2021-01,-0.02,0.31
BCML,2021-02,0.075,0.64
BCML,2021-04,0.022,0.12
BCML,2021-06,-0.003,0.06
BCML,2021-07,0.012,0.29
BGFV,2020-01,0.31,0.18
BGFV,2020-02,-0.1,0.075
BGFV,2020-05,-0.041,0.075
BGFV,2020-06,0.144,-0.43
BGFV,2020-07,0.227,0.127
BGFV,2020-10,-0.027,0.317
BGFV,2020-11,-0.01,0.117
BGFV,2020-12,0.005,0.19
BGFV,2021-01,0.006,0.418
BGFV,2021-02,0.007,0.277
BGFV,2021-03,-0.04,0.334
BGFV,2021-04,0.005,0.193
BGFV,2021-05,0.131,0.372
BGFV,2021-06,-0.01,0.04
BGSF,2020-12,0.04,0.53
BGSF,2021-01,0.01,0.485
BGSF,2021-02,-0.016,0.52
BGSF,2021-03,0.009,0.025
BGSF,2021-04,0.036,0.43
BGSF,2021-05,-0.014,0.173
BGSF,2021-06,-0.02,0.093
BIPC,2020-09,0.029,0.483
BIPC,2020-10,-0.011,0.01
BIPC,2020-11,0.026,0.11
BIPC,2020-12,0.008,0.15
BIPC,2021-01,-0.023,0.23
BIPC,2021-02,0.003,0.508
BIPC,2021-03,0.015,0.16
BIPC,2021-04,-0.001,0.445
BIPC,2021-05,0.015,0.6
BIPC,2021-06,0.003,-0.137
BLDR,2020-01,-0.002,0.273
BLDR,2020-02,-0.033,0.23
BLDR,2020-04,0.014,-0.022
BLDR,2020-05,-0.061,0.18
BLDR,2020-07,0.031,0.12
BLDR,2020-08,0.047,0.18
BLDR,2020-09,-0.027,-0.4
BLDR,2020-10,-0.002,-0.18
BLDR,2020-11,-0.006,0.7
BLDR,2020-12,0.025,0.38
BLDR,2021-01,-0.0,0.359
BLDR,2021-02,0.032,0.578
BLDR,2021-03,0.004,0.295
BLDR,2021-04,0.002,0.354
BLDR,2021-05,0.014,0.62
BLDR,2021-06,0.001,0.653
BLDR,2021-07,0.024,0.77
BLMN,2020-12,-0.005,0.51
BLMN,2021-01,-0.013,0.202
BLMN,2021-02,0.028,0.533
BLMN,2021-03,0.05,-0.008
BLMN,2021-04,0.01,0.279
BLMN,2021-05,-0.003,0.215
BLMN,2021-06,-0.005,0.488
