Ticker,Data_Points,Avg_RET,Avg_RET_Pct,Avg_Score,Correlation,Date_Start,Date_End,RET_StdDev,Score_StdDev,Min_RET,Max_RET,Min_Score,Max_Score
ACCO,52,-0.002749846,-0.274984615,0.2711538461538462,0.16759901711978623,2020-06-04,2021-06-30,0.027606626,0.29994544501445103,-0.055072,0.075721,-0.48,0.78
AIN,30,-0.001844,-0.1844,0.2226666666666667,-0.205588208,2020-10-08,2021-06-10,0.023170269,0.30999369663595255,-0.046975,0.039631,-0.55,0.75
AIV,38,-0.004186895,-0.418689474,0.15421052631578946,0.16169579998755546,2020-06-05,2021-06-29,0.034377210206126205,0.4020127171509216,-0.083333,0.05525,-0.71,0.8
ALF,3,0.29855533333333334,29.855533333333334,0.32,0.33003822160138135,2021-06-22,2021-06-24,0.7040123593612071,0.7804485889538144,-0.262738,1.088462,-0.58,0.81
ALKS,68,0.006728353,0.6728352941176471,0.385735294,0.006100323,2020-02-06,2021-07-01,0.026672386265526635,0.2513564168426418,-0.051596,0.126975,-0.1,0.74
AMT,104,0.001598029,0.15980288461538464,0.3168269230769231,0.067644961,2020-10-20,2021-07-01,0.014662486427017103,0.28298775033722934,-0.038354,0.051052,-0.45,0.76
ANET,58,0.00725719,0.7257189655172415,0.33879310344827585,0.23785025728205958,2020-05-15,2021-06-29,0.019976643817882864,0.33975263233663594,-0.028698,0.065993,-0.53,0.8
ATOM,42,-0.017650143,-1.765014286,0.205952381,0.021340515478451543,2020-01-30,2021-07-01,0.07157497,0.23086327411620974,-0.247971,0.109836,-0.6,0.75
AUB,42,-0.0005505,-0.05505,0.32738095238095244,-0.140336883,2020-01-08,2021-05-27,0.042697067,0.24061972349675786,-0.075422,0.116785,-0.07,0.74
AXSM,69,-0.000429217,-0.042921739,0.4043478260869566,0.10577313600838846,2020-01-14,2021-06-29,0.034356272469465654,0.3042226267877134,-0.069851,0.076181,-0.51,0.81
AYRO,28,0.025802857142857148,2.580285714285715,0.22214285714285711,-0.077511322,2020-06-18,2021-06-29,0.077903523,0.3364670160804071,-0.179245,0.175595,-0.3,0.76
BCML,22,0.014189045454545452,1.4189045454545453,0.21863636363636357,0.012912726033047642,2020-06-05,2021-07-01,0.024262931561338925,0.33930314377651055,-0.04355,0.07455,-0.56,0.74
BGFV,47,0.041180617021276594,4.118061702127659,0.2172340425531915,0.014776642381077204,2020-01-14,2021-06-14,0.1297720113120721,0.2998166260411417,-0.206133,0.472036,-0.58,0.8
BGSF,27,0.003442,0.3442,0.2751851851851852,0.15384002429575555,2020-12-03,2021-06-29,0.027241589481187375,0.3583978276287439,-0.040435,0.05547,-0.47,0.81
BIPC,33,0.006538061,0.6538060606060607,0.3145454545454546,0.001702531,2020-09-02,2021-06-23,0.022933871638009837,0.27884909571633576,-0.060347,0.053895,-0.36,0.78
BLDR,74,0.005511703,0.5511702702702703,0.3313513513513513,-0.041103971,2020-01-10,2021-07-01,0.026863194015323718,0.32413139701731364,-0.060763,0.065378,-0.39,0.8
BLMN,37,0.008583514,0.8583513513513512,0.25891891891891894,-0.216350126,2020-12-28,2021-06-30,0.029557018,0.33278107404605095,-0.059431,0.08966,-0.52,0.79
,,,,,-0.075680337,,,,,,,,
