Metric,Value
Total_Observations,7583.0
Unique_Tickers,98.0
Pearson_Correlation,0.012858134574824282
Spearman_Correlation,0.015395454930743683
Mean_Score,0.29025847289990764
Median_Score,0.35
Std_Score,0.3882864664532438
Mean_RET_pct,0.2122003692469999
Median_RET_pct,0.1655
Std_RET_pct,3.845697157309683
Score_Min,-0.85
Score_Max,0.88
RET_Min_pct,-27.5679
RET_Max_pct,108.84620000000001
Positive_Scores_pct,81.37940129236449
Negative_Scores_pct,17.051298958195964
Neutral_Scores_pct,1.5692997494395358
Positive_Returns_pct,53.32981669523935
Negative_Returns_pct,46.28774891204009
