Ticker,Data_Points,Avg_Monthly_RET,Avg_Monthly_RET_Pct,Avg_Score,Correlation,Date_Start,Date_End,RET_StdDev,Score_StdDev,Min_RET,Max_RET,Min_Score,Max_Score
ACCO,11,0.001,0.10000000000000009,0.2212727272727273,0.26337868185617475,Jul-20,Jul-21,0.062549181,0.16720770969610876,-0.091,0.103,-0.195,0.417
AIN,8,0.065625,6.5625,0.387625,0.5015528584581421,Nov-20,Jul-21,0.12837772114239404,0.1504886682967003,-0.053,0.345,0.214,0.59
AIV,12,0.06025,6.0249999999999995,0.14133333333333334,-0.398879738,Jul-20,Jul-21,0.13510408445477742,0.372737132,-0.131,0.29,-0.72,0.63
ALF,1,-0.336,-33.6,0.3,,Jul-21,Jul-21,,,-0.336,-0.336,0.3,0.3
ALKS,11,0.036545455,3.654545454545454,0.36618181818181816,-0.759430514,Mar-20,Aug-21,0.1419537696832061,0.1646006185783141,-0.308,0.208,0.12,0.73
AMT,8,0.035,3.5000000000000004,0.421625,-0.427636801,Nov-20,Aug-21,0.047925537481150304,0.14595394332264056,-0.049,0.106,0.269,0.73
ANET,9,0.028777777777777777,2.8777777777777778,0.4032222222222222,-0.271408613,Jun-20,Jul-21,0.071212319,0.17233454222657874,-0.1,0.079,0.117,0.7
ATOM,18,0.13977777777777778,13.977777777777778,0.24327777777777781,-0.289224974,Feb-20,Aug-21,0.3424171098589891,0.15024599654275045,-0.321,0.785,0,0.52
AUB,13,0.034307692,3.430769231,0.30053846153846153,-0.3975158,Feb-20,Jun-21,0.097804554,0.15744237855197235,-0.117,0.193,0.067,0.617
AXSM,17,-0.008058824,-0.805882353,0.43241176470588233,-0.585613199,Feb-20,Jul-21,0.2041621508104022,0.21020586897834506,-0.28,0.615,0.078,0.735
AYRO,12,-0.034666667,-3.466666667,0.19025,-0.503554357,Jul-20,Jul-21,0.20335831937888862,0.30392526742904774,-0.202,0.536,-0.41,0.64
BCML,12,0.034583333333333334,3.4583333333333335,0.2251666666666667,-0.011853208,Jul-20,Aug-21,0.13042410425108147,0.24175676481400338,-0.204,0.297,-0.06,0.64
BGFV,15,0.22093333333333331,22.09333333333333,0.1652,-0.592726019,Feb-20,Jul-21,0.5754231320970516,0.20054967321980713,-0.498,1.887,-0.43,0.418
BGSF,7,-0.004142857,-0.414285714,0.32228571428571423,-0.200279948,Jan-21,Jul-21,0.081860509,0.21739036645760415,-0.146,0.113,0.025,0.53
BIPC,10,0.023300000000000008,2.330000000000001,0.2559,0.21541667347236315,Oct-20,Jul-21,0.11102156947588558,0.2418674797854763,-0.141,0.233,-0.137,0.6
BLDR,17,0.029470588,2.947058823529411,0.2994117647058823,0.020707567,Feb-20,Aug-21,0.16960804729104795,0.31513113516906127,-0.461,0.293,-0.4,0.77
BLMN,7,0.042857143,4.285714285714286,0.31700000000000006,-0.298151531,Jan-21,Jul-21,0.1147307406807036,0.2015953041781149,-0.082,0.179,-0.008,0.533
,,,,,-0.362735933,,,,,,,,
