Ticker,Data_Points,Avg_RET,Avg_RET_Pct,Avg_Score,Correlation,Date_Start,Date_End,RET_StdDev,Score_StdDev,Min_RET,Max_RET,Min_Score,Max_Score
ACCO,52,-0.002749846,-0.274984615,0.12326923076923077,0.23428894484037502,2020-06-04,2021-06-30,0.027606626,0.2048023547835495,-0.055072,0.075721,-0.35,0.72
AIN,30,-0.001844,-0.1844,0.15366666666666667,-0.261324643,2020-10-08,2021-06-10,0.023170269,0.24287762397941287,-0.046975,0.039631,-0.45,0.68
AIV,38,-0.004186895,-0.418689474,0.007105263,0.3201671045963349,2020-06-05,2021-06-29,0.034377210206126205,0.2563138689790507,-0.083333,0.05525,-0.85,0.35
ALF,3,0.29855533333333334,29.855533333333334,0.09,0.8798858471122643,2021-06-22,2021-06-24,0.7040123593612071,0.2954657340538831,-0.262738,1.088462,-0.15,0.42
ALKS,68,0.006728353,0.6728352941176471,0.22470588235294114,-0.157508516,2020-02-06,2021-07-01,0.026672386265526635,0.21488956266879497,-0.051596,0.126975,-0.15,0.75
AMT,104,0.001598029,0.15980288461538464,0.10826923076923077,0.009751619,2020-10-20,2021-07-01,0.014662486427017103,0.14584499224350944,-0.038354,0.051052,-0.35,0.55
ANET,58,0.00725719,0.7257189655172415,0.15017241379310348,0.2808916260107656,2020-05-15,2021-06-29,0.019976643817882864,0.19953007405832462,-0.028698,0.065993,-0.35,0.72
ATOM,42,-0.017650143,-1.765014286,0.08952381,-0.022803351,2020-01-30,2021-07-01,0.07157497,0.1988620355306097,-0.247971,0.109836,-0.72,0.85
AUB,42,-0.0005505,-0.05505,0.12547619047619046,0.058385774627942824,2020-01-08,2021-05-27,0.042697067,0.15641100299628635,-0.075422,0.116785,-0.15,0.68
AXSM,69,-0.000429217,-0.042921739,0.23144927536231885,0.096828734,2020-01-14,2021-06-29,0.034356272469465654,0.2180412492162006,-0.069851,0.076181,-0.35,0.75
AYRO,28,0.025802857142857148,2.580285714285715,0.0875,-0.166456891,2020-06-18,2021-06-29,0.077903523,0.19908354843949125,-0.179245,0.175595,-0.35,0.55
BCML,22,0.014189045454545452,1.4189045454545453,0.086818182,0.10767470943353515,2020-06-05,2021-07-01,0.024262931561338925,0.1586666575721195,-0.04355,0.07455,-0.25,0.45
BGFV,47,0.041180617021276594,4.118061702127659,0.11234042553191492,0.033959597,2020-01-14,2021-06-14,0.1297720113120721,0.1963383588510832,-0.206133,0.472036,-0.75,0.68
BGSF,27,0.003442,0.3442,0.076666667,-0.076564558,2020-12-03,2021-06-29,0.027241589481187375,0.1753896760403487,-0.040435,0.05547,-0.35,0.55
BIPC,33,0.006538061,0.6538060606060607,0.17000000000000004,-0.099530242,2020-09-02,2021-06-23,0.022933871638009837,0.2144906757880165,-0.060347,0.053895,-0.15,0.85
BLDR,74,0.005511703,0.5511702702702703,0.17405405405405405,0.032138050760521765,2020-01-10,2021-07-01,0.026863194015323718,0.2248891289631521,-0.060763,0.065378,-0.25,0.75
BLMN,37,0.008583514,0.8583513513513512,0.14108108108108108,-0.154180412,2020-12-28,2021-06-30,0.029557018,0.23210131628455066,-0.059431,0.08966,-0.15,0.85
,,,,,-0.079782866,,,,,,,,
