date,TICKER,PRC,RET,SHROUT,MV_USD,MV_USD_lag
2020-01-02,AIN,76.85,0.01225,30700.0,2359295.0,2330744.0
2020-01-03,AIN,77.63,0.01015,30700.0,2383241.0,2359295.0
2020-01-06,AIN,76.83,-0.010305,30700.0,2358681.0,2383241.0
2020-01-07,AIN,76.37,-0.005987,30700.0,2344559.0,2358681.0
2020-01-08,AIN,76.1,-0.003535,30700.0,2336270.0,2344559.0
2020-01-09,AIN,76.7,0.007884,30700.0,2354690.0,2336270.0
2020-01-10,AIN,74.99,-0.022295,30700.0,2302193.0,2354690.0
2020-01-13,AIN,77.29,0.030671,30700.0,2372803.0,2302193.0
2020-01-14,AIN,77.19,-0.001294,30700.0,2369733.0,2372803.0
2020-01-15,AIN,78.36,0.015157,30700.0,2405652.0,2369733.0
2020-01-16,AIN,79.27,0.011613,30700.0,2433589.0,2405652.0
2020-01-17,AIN,78.39,-0.011101,30700.0,2406573.0,2433589.0
2020-01-21,AIN,76.53,-0.023728,30700.0,2349471.0,2406573.0
2020-01-22,AIN,73.8,-0.035672,30700.0,2265660.0,2349471.0
2020-01-23,AIN,74.43,0.008537,30700.0,2285001.0,2265660.0
2020-01-24,AIN,73.18,-0.016794,30700.0,2246626.0,2285001.0
2020-01-27,AIN,72.25,-0.012708,30700.0,2218075.0,2246626.0
2020-01-28,AIN,73.45,0.016609,30700.0,2254915.0,2218075.0
2020-01-29,AIN,73.31,-0.001906,30700.0,2250617.0,2254915.0
2020-01-30,AIN,72.63,-0.009276,30700.0,2229741.0,2250617.0
2020-01-31,AIN,69.77,-0.039378,30700.0,2141939.0,2229741.0
2020-02-03,AIN,70.31,0.00774,30700.0,2158517.0,2141939.0
2020-02-04,AIN,71.39,0.015361,30700.0,2191673.0,2158517.0
2020-02-05,AIN,73.12,0.024233,30700.0,2244784.0,2191673.0
2020-02-06,AIN,73.65,0.007248,30700.0,2261055.0,2244784.0
2020-02-07,AIN,71.85,-0.02444,30700.0,2205795.0,2261055.0
2020-02-10,AIN,72.15,0.004175,30700.0,2215005.0,2205795.0
2020-02-11,AIN,73.65,0.02079,30700.0,2261055.0,2215005.0
2020-02-12,AIN,74.01,0.004888,30700.0,2272107.0,2261055.0
2020-02-13,AIN,73.75,-0.003513,30700.0,2264125.0,2272107.0
2020-02-14,AIN,74.17,0.005695,30700.0,2277019.0,2264125.0
2020-02-18,AIN,74.13,-0.000539,30700.0,2275791.0,2277019.0
2020-02-19,AIN,73.98,-0.002023,30700.0,2271186.0,2275791.0
2020-02-20,AIN,74.63,0.008786,30700.0,2291141.0,2271186.0
2020-02-21,AIN,74.29,-0.004556,30700.0,2280703.0,2291141.0
2020-02-24,AIN,71.86,-0.03271,30700.0,2206102.0,2280703.0
2020-02-25,AIN,69.58,-0.031728,30700.0,2136106.0,2206102.0
2020-02-26,AIN,69.54,-0.000575,30700.0,2134878.0,2136106.0
2020-02-27,AIN,67.65,-0.027179,30700.0,2076855.0,2134878.0
2020-02-28,AIN,64.07,-0.052919,30700.0,1966949.0,2076855.0
2020-03-02,AIN,67.25,0.049633,30700.0,2064575.0,1966949.0
2020-03-03,AIN,67.3,0.000744,30700.0,2066110.0,2064575.0
2020-03-04,AIN,68.85,0.023031,30700.0,2113695.0,2066110.0
2020-03-05,AIN,65.31,-0.051416,30700.0,2005017.0,2113695.0
2020-03-06,AIN,65.33,0.000306,30700.0,2005631.0,2005017.0
2020-03-09,AIN,59.07,-0.095821,30700.0,1813449.0,2005631.0
2020-03-10,AIN,63.03,0.067039,30700.0,1935021.0,1813449.0
2020-03-11,AIN,57.7,-0.084563,30700.0,1771390.0,1935021.0
2020-03-12,AIN,45.49,-0.211612,30700.0,1396543.0,1771390.0
2020-03-13,AIN,44.11,-0.030336,30700.0,1354177.0,1396543.0
2020-03-16,AIN,40.47,-0.082521,30700.0,1242429.0,1354177.0
2020-03-17,AIN,37.24,-0.079812,30700.0,1143268.0,1242429.0
2020-03-18,AIN,31.61,-0.151182,30700.0,970427.0,1143268.0
2020-03-19,AIN,39.25,0.247706,30700.0,1204975.0,970427.0
2020-03-20,AIN,37.55,-0.043312,30700.0,1152785.0,1204975.0
2020-03-23,AIN,41.08,0.094008,30700.0,1261156.0,1152785.0
2020-03-24,AIN,43.46,0.057936,30700.0,1334222.0,1261156.0
2020-03-25,AIN,40.59,-0.066038,30700.0,1246113.0,1334222.0
2020-03-26,AIN,47.93,0.180833,30700.0,1471451.0,1246113.0
2020-03-27,AIN,47.98,0.001043,30700.0,1472986.0,1471451.0
2020-03-30,AIN,48.34,0.007503,30700.0,1484038.0,1472986.0
2020-03-31,AIN,47.33,-0.020894,30700.0,1453031.0,1484038.0
2020-04-01,AIN,43.49,-0.081132,30700.0,1335143.0,1453031.0
2020-04-02,AIN,43.77,0.006438,30700.0,1343739.0,1335143.0
2020-04-03,AIN,42.13,-0.037469,30700.0,1293391.0,1343739.0
2020-04-06,AIN,44.1,0.04676,30700.0,1353870.0,1293391.0
2020-04-07,AIN,45.54,0.032653,30700.0,1398078.0,1353870.0
2020-04-08,AIN,47.35,0.039745,30700.0,1453645.0,1398078.0
2020-04-09,AIN,47.81,0.009715,30700.0,1467767.0,1453645.0
2020-04-13,AIN,44.59,-0.06735,30700.0,1368913.0,1467767.0
2020-04-14,AIN,46.0,0.031621,30700.0,1412200.0,1368913.0
2020-04-15,AIN,44.86,-0.024783,30700.0,1377202.0,1412200.0
2020-04-16,AIN,45.29,0.009585,30700.0,1390403.0,1377202.0
2020-04-17,AIN,48.0,0.059837,30700.0,1473600.0,1390403.0
2020-04-20,AIN,47.75,-0.005208,30700.0,1465925.0,1473600.0
2020-04-21,AIN,46.99,-0.015916,30700.0,1442593.0,1465925.0
2020-04-22,AIN,47.55,0.011917,30700.0,1459785.0,1442593.0
2020-04-23,AIN,48.54,0.02082,30700.0,1490178.0,1459785.0
2020-04-24,AIN,46.6,-0.039967,30700.0,1430620.0,1490178.0
2020-04-27,AIN,49.11,0.053863,30700.0,1507677.0,1430620.0
2020-04-28,AIN,51.47,0.048055,30700.0,1580129.0,1507677.0
2020-04-29,AIN,55.69,0.081989,30700.0,1709683.0,1580129.0
2020-04-30,AIN,51.14,-0.081702,30700.0,1569998.0,1709683.0
2020-05-01,AIN,50.34,-0.015643,30700.0,1545438.0,1569998.0
2020-05-04,AIN,51.04,0.013905,30700.0,1566928.0,1545438.0
2020-05-05,AIN,49.7,-0.026254,30700.0,1525790.0,1566928.0
2020-05-06,AIN,51.09,0.027968,30700.0,1568463.0,1525790.0
2020-05-07,AIN,51.54,0.008808,30700.0,1582278.0,1568463.0
2020-05-08,AIN,54.49,0.057237,30700.0,1672843.0,1582278.0
2020-05-11,AIN,51.38,-0.057075,30700.0,1577366.0,1672843.0
2020-05-12,AIN,50.11,-0.024718,30700.0,1538377.0,1577366.0
2020-05-13,AIN,49.04,-0.021353,30700.0,1505528.0,1538377.0
2020-05-14,AIN,49.72,0.013866,30700.0,1526404.0,1505528.0
2020-05-15,AIN,49.78,0.001207,30700.0,1528246.0,1526404.0
2020-05-18,AIN,54.76,0.10004,30700.0,1681132.0,1528246.0
