date,TICKER,PRC,RET,SHROUT,MV_USD,MV_USD_lag
2020-01-31,AIN,69.77,-0.081006,30700.0,2141939.0,2330744.0
2020-02-28,AIN,64.07,-0.081697,30700.0,1966949.0,2141939.0
2020-03-31,AIN,47.33,-0.258311,30700.0,1453031.0,1966949.0
2020-04-30,AIN,51.14,0.080499,30700.0,1569998.0,1453031.0
2020-05-29,AIN,60.3,0.179116,30700.0,1851210.0,1569998.0
2020-06-30,AIN,58.71,-0.023217,30700.0,1802397.0,1851210.0
2020-07-31,AIN,48.08,-0.181059,30719.0,1476969.52,1802397.0
2020-08-31,AIN,51.9,0.079451,30719.0,1594316.1,1476969.52
2020-09-30,AIN,49.51,-0.042389,30719.0,1520897.69,1594316.1
2020-10-30,AIN,50.94,0.028883,30700.0,1563858.0,1520897.69
2020-11-30,AIN,68.53,0.345308,30700.0,2103871.0,1563858.0
2020-12-31,AIN,73.42,0.074274,30700.0,2253994.0,2103871.0
2021-01-29,AIN,69.52,-0.053119,30700.0,2134264.0,2253994.0
2021-02-26,AIN,79.05,0.137083,30700.0,2426835.0,2134264.0
2021-03-31,AIN,83.47,0.058444,30750.0,2566702.5,2426835.0
2021-04-30,AIN,89.24,0.069127,30700.0,2739668.0,2566702.5
2021-05-28,AIN,89.35,0.001233,30700.0,2743045.0,2739668.0
2021-06-30,AIN,89.26,0.001231,30700.0,2740282.0,2743045.0
2021-07-30,AIN,86.35,-0.032601,30700.0,2650945.0,2740282.0
2021-08-31,AIN,78.33,-0.092878,30763.0,2409665.79,2650945.0
2021-09-30,AIN,76.87,-0.016086,30763.0,2364751.81,2409665.79
2021-10-29,AIN,80.65,0.049174,32380.0,2611447.0,2364751.81
2021-11-30,AIN,80.93,0.003472,32380.0,2620513.4000000004,2611447.0
2021-12-31,AIN,88.45,0.095515,32380.0,2864011.0,2620513.4000000004
2020-01-31,BLMN,20.77,-0.058903,86946.0,1805868.42,1918898.22
2020-02-28,BLMN,17.99,-0.124218,87030.0,1565669.7,1805868.42
2020-03-31,BLMN,7.14,-0.603113,87417.0,624157.38,1565669.7
2020-04-30,BLMN,12.05,0.687675,87417.0,1053374.85,624157.38
2020-05-29,BLMN,11.41,-0.053112,87486.0,998215.26,1053374.85
2020-06-30,BLMN,10.66,-0.065732,87534.0,933112.44,998215.26
2020-07-31,BLMN,11.52,0.080675,87547.0,1008541.44,933112.44
2020-08-31,BLMN,14.34,0.244792,87547.0,1255423.98,1008541.44
2020-09-30,BLMN,15.27,0.064854,87573.0,1337239.71,1255423.98
2020-10-30,BLMN,13.98,-0.084479,87575.0,1224298.5,1337239.71
2020-11-30,BLMN,17.5,0.251788,87575.0,1532562.5,1224298.5
2020-12-31,BLMN,19.42,0.109714,87856.0,1706163.5200000005,1532562.5
2021-01-29,BLMN,21.07,0.084964,87856.0,1851125.92,1706163.5200000005
2021-02-26,BLMN,24.84,0.178927,88758.0,2204748.72,1851125.92
2021-03-31,BLMN,27.05,0.088969,88855.0,2403527.75,2204748.72
2021-04-30,BLMN,31.6,0.168207,88919.0,2809840.4,2403527.75
2021-05-28,BLMN,29.55,-0.064873,88919.0,2627556.45,2809840.4
2021-06-30,BLMN,27.14,-0.081557,89211.0,2421186.54,2627556.45
2021-07-30,BLMN,25.13,-0.07406,89211.0,2241872.43,2421186.54
2021-08-31,BLMN,26.79,0.066057,89224.0,2390310.96,2241872.43
2021-09-30,BLMN,25.0,-0.066816,89248.0,2231200.0,2390310.96
2021-10-29,BLMN,21.62,-0.1352,89248.0,1929541.76,2231200.0
2021-11-30,BLMN,17.67,-0.182701,89249.0,1577029.83,1929541.76
2021-12-31,BLMN,20.98,0.187323,89253.0,1872527.94,1577029.83
2020-01-31,ANET,223.34,0.098033,76399.0,17062952.66,15539555.83601
2020-02-28,ANET,193.12,-0.135309,76479.0,14769624.48,17062952.66
2020-03-31,ANET,202.55,0.04883,76479.0,15490821.45,14769624.48
2020-04-30,ANET,219.3,0.082696,75659.0,16592018.7,15490821.45
2020-05-29,ANET,233.46001,0.064569,75705.0,17674090.05705,16592018.7
2020-06-30,ANET,210.03,-0.10036,75705.0,15900321.15,17674090.05705
2020-07-31,ANET,259.76999,0.236823,75705.0,19665887.09295,15900321.15
2020-08-31,ANET,223.45,-0.139816,76026.0,16988009.7,19665887.09295
2020-09-30,ANET,206.92999,-0.073932,76026.0,15732059.41974,16988009.7
2020-10-30,ANET,208.89999,0.00952,76026.0,15881830.63974,15732059.41974
2020-11-30,ANET,270.70001,0.295835,75661.0,20481433.45661,15881830.63974
2020-12-31,ANET,290.57001,0.073402,75661.0,21984817.52661,20481433.45661
2021-01-29,ANET,307.56,0.058471,75661.0,23270297.16,21984817.52661
2021-02-26,ANET,279.84,-0.090129,76332.0,21360746.88,23270297.16
2021-03-31,ANET,301.89001,0.078795,76332.0,23043868.243320003,21360746.88
2021-04-30,ANET,315.17001,0.04399,76271.0,24038331.83271,23043868.243320003
2021-05-28,ANET,339.38,0.076816,76322.0,25902160.36,24038331.83271
2021-06-30,ANET,362.31,0.067564,76322.0,27652223.82,25902160.36
2021-07-30,ANET,380.39001,0.049902,76322.0,29032126.343220003,27652223.82
2021-08-31,ANET,369.53,-0.02855,76717.0,28349233.01,29032126.343220003
